document_code,document_id,document_url,issue_date,abstract,num_attachments,attachment_1_url,attachment_2_url,attachment_3_url,attachment_4_url,attachment_5_url
112/2025/TT-BTC,216120,https://chinhphu.vn/?pageid=27160&docid=216120&classid=1,28/11/2025,"Sửa đổi, bổ sung một số điều của Thông tư số 55/2023/TT-BTC ngày 15 tháng 8 năm 2023 của Bộ trưởng Bộ Tài chính quy định quản lý, sử dụng và quyết toán kinh phí sự nghiệp từ nguồn ngân sách nhà nước thực hiện các Chương trình mục tiêu quốc gia giai đoạn 2021-2025 được sửa đổi, bổ sung bởi Thông tư số 75/2024/TT-BTC ngày 31 tháng 10 năm 2024 của Bộ trưởng Bộ Tài chính",1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/112-btc.pdf,,,,
70/2025/TT-BNNMT,216146,https://chinhphu.vn/?pageid=27160&docid=216146&classid=1,28/11/2025,Ban hành Định mức kinh tế - kỹ thuật đo đạc và bản đồ,1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/70-bnnmt.pdf,,,,
68/2025/TT-BNNMT,216118,https://chinhphu.vn/?pageid=27160&docid=216118&classid=1,28/11/2025,Quy định kỹ thuật vận hành công trình hạ tầng thu nhận dữ liệu ảnh viễn thám,1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/68-bnnmt.pdf,,,,
56/2025/TT-BCT,216107,https://chinhphu.vn/?pageid=27160&docid=216107&classid=1,28/11/2025,Quy định về quy trình kiểm tra chuyên ngành Công Thương,1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/56-bct.signed.pdf,,,,
55/2025/TT-BCT,216097,https://chinhphu.vn/?pageid=27160&docid=216097&classid=1,28/11/2025,"Sửa đổi, bổ sung một số điều của Thông tư số 07/2019/TT-BCT ngày 19 tháng 4 năm 2019 của Bộ trưởng Bộ Công Thương quy định về xuất khẩu hàng dệt may sang Mê-hi-cô theo Hiệp định Đối tác Toàn diện và Tiến bộ xuyên Thái Bình Dương",1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/55-bct.pdf,,,,
43/2025/QĐ-TTg,216066,https://chinhphu.vn/?pageid=27160&docid=216066&classid=1,28/11/2025,Quy định lộ trình áp dụng quy chuẩn kỹ thuật quốc gia về khí thải xe ô tô tham gia giao thông đường bộ,1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/43-qdttg.signed.pdf,,,,
40/2025/TT-BXD,216144,https://chinhphu.vn/?pageid=27160&docid=216144&classid=1,28/11/2025,"Quy định cơ chế, chính sách quản lý giá dịch vụ kiểm định, miễn kiểm định lần đầu cho xe cơ giới, xe máy chuyên dùng",1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/40-bxd.pdf,,,,
37/2025/TT-BKHCN,216105,https://chinhphu.vn/?pageid=27160&docid=216105&classid=1,28/11/2025,"Quy định mã số và tiêu chuẩn chức danh khoa học, chức danh công nghệ; thành tích, kết quả khoa học, công nghệ và đổi mới sáng tạo để xét bổ nhiệm vào chức danh khoa học, chức danh công nghệ cao hơn không phụ thuộc vào năm công tác",1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/37-bkhcn.pdf,,,,
25/2025/TT-BGDĐT,216152,https://chinhphu.vn/?pageid=27160&docid=216152&classid=1,28/11/2025,Ban hành Quy chế quản lý việc đi công tác nước ngoài của các đơn vị thuộc và trực thuộc Bộ Giáo dục và Đào tạo,1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/25-bgddt.pdf,,,,
307/2025/NĐ-CP,216064,https://chinhphu.vn/?pageid=27160&docid=216064&classid=1,27/11/2025,Phân loại đơn vị hành chính,1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/307-cp.signed.pdf,,,,
24/2025/TT-BTP,216076,https://chinhphu.vn/?pageid=27160&docid=216076&classid=1,27/11/2025,"Sửa đổi, bổ sung, bãi bỏ một số điều của các thông tư thuộc lĩnh vực tổ chức cán bộ và thông tư có liên quan thuộc phạm vi quản lý của Bộ Tư pháp",1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/24-btp.pdf,,,,
66.8/2025/NQ-CP,216007,https://chinhphu.vn/?pageid=27160&docid=216007&classid=1,26/11/2025,"Về tách nội dung bồi thường, hỗ trợ, tái định cư thuộc dự án điện hạt nhân đã được Quốc hội quyết định chủ trương đầu tư thành dự án độc lập",1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/11/66.8-cp.signed.pdf,,,,
