STT,Số ký hiệu,Ngày ban hành,Tên văn bản,link
51.0,148/2020/NĐ-CP,18/12/2020,"Sửa đổi, bổ sung một số nghị định quy định chi tiết thi hành Luật Đất đai",https://vbpl.vn/TW/Pages/vbpq-van-ban-goc.aspx?ItemID=146773&Keyword=148/2020/NĐ-CP
52.0,06/2020/NĐ-CP,03/01/2020,"Sửa đổi, bổ sung Điều 17 của Nghị định số 47/2014/NĐ-CP ngày 15 tháng 5 năm 2014 của Chính phủ quy định về bồi thường, hỗ trợ, tái định cư khi Nhà nước thu hồi đất",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=140551&Keyword=06/2020/NĐ-CP
53.0,96/2019/NĐ-CP,19/12/2019,Quy định về khung giá đất,https://vbpl.vn/TW/Pages/vbpq-van-ban-goc.aspx?ItemID=139889&Keyword=96/2019/NĐ-CP
54.0,79/2019/NĐ-CP,26/10/2019,Sửa đổi Điều 16 Nghị định số 45/2014/NĐ-CP ngày 15 tháng 5 năm 2014 của Chính phủ quy định về thu tiền sử dụng đất,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=138990&Keyword=79/2019/NĐ-CP
55.0,123/2017/NĐ-CP,14/11/2017,"Sửa đổi, bổ sung một số điều của các Nghị định quy định về thu tiền sử dụng đất, thu tiền thuê đất, thuê mặt nước",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=125700&Keyword=123/2017/NĐ-CP
56.0,135/2016/NĐ-CP,09/09/2016,"Sửa đổi, bổ sung một số điều của các Nghị định quy định về thu tiền sử dụng đất, thu tiền thuê đất, thuế mặt nước",https://vbpl.vn/TW/Pages/vbpq-van-ban-goc.aspx?ItemID=119216&Keyword=135/2016/NĐ-CP
57.0,79/2016/NĐ-CP,01/07/2016,"Quy định điều kiện kinh doanh dịch vụ đào tạo, bồi dưỡng kiến thức chuyên môn, nghiệp vụ quản lý nhà chung cư, kiến thức hành nghề môi giới bất động sản, điều hành sàn giao dịch bất động sản",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=111997&Keyword=79/2016/NĐ-CP
58.0,100/2015/NĐ-CP,20/10/2015,Về phát triển và quản lý nhà ở xã hội,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=92810&Keyword=100/2015/NĐ-CP
59.0,104/2014/NĐ-CP,14/11/2014,Quy định về khung giá đất,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=37796&Keyword=104/2014/NĐ-CP
60.0,47/2014/NĐ-CP,15/05/2014,"Quy định về bồi thường, hỗ trợ, tái định cư khi Nhà nước thu hồi đất",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=36140&Keyword=47/2014/NĐ-CP
61.0,46/2014/NĐ-CP,15/05/2014,"Quy định về thu tiền thuê đất, thuê mặt nước",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=36946&Keyword=46/2014/NĐ-CP
62.0,45/2014/NĐ-CP,15/05/2014,Quy định về thu tiền sử dụng đất,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=36945&Keyword=45/2014/NĐ-CP
63.0,44/2014/NĐ-CP,15/05/2014,Quy định về giá đất,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=36136&Keyword=44/2014/NĐ-CP
64.0,188/2013/NĐ-CP,20/11/2013,Về phát triển và quản lý nhà ở xã hội,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=32622&Keyword=188/2013/NĐ-CP
65.0,84/2013/NĐ-CP,25/07/2013,Quy định về phát triển và quản lý nhà ở tái định cư,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=31551&Keyword=84/2013/NĐ-CP
66.0,121/2010/NĐ-CP,30/12/2010,"Về sửa đổi, bổ sung một số điều của Nghị định số 142/2005/NĐ-CP ngày 14 tháng 11 năm 2005 của Chính phủ về thu tiền thuê đất, thuê mặt nước",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=26016&Keyword=121/2010/NĐ-CP
67.0,120/2010/NĐ-CP,30/12/2010,"Về sửa đổi, bổ sung một số điều của Nghị định số 198/2004/NĐ-CP ngày 03 tháng 12 năm 2004 của Chính phủ về thu tiền sử dụng đất",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=25992&Keyword=120/2010/NĐ-CP
68.0,71/2010/NĐ-CP,23/06/2010,Quy định chi tiết và hướng dẫn thi hành Luật Nhà ở,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=25317&Keyword=71/2010/NĐ-CP
69.0,88/2009/NĐ-CP,19/10/2009,"Về cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=23722&Keyword=88/2009/NĐ-CP
70.0,69/2009/NĐ-CP,13/08/2009,"Quy định bổ sung về quy hoạch sử dụng đất, giá đất, thu hồi đất, bồi thường, hỗ trợ và tái định cư",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=24220&Keyword=69/2009/NĐ-CP
71.0,10/NĐ-CP,06/03/2009,"Về việc điều chỉnh địa giới hành chính xã, thành lập xã thuộc thành phố Đà Lạt, huyện Đức Trọng, huyện Di Linh, tỉnh Lâm Đồng",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=12653&Keyword=10/NĐ-CP
72.0,23/2009/NĐ-CP,27/02/2009,"Về xử phạt vi phạm hành chính trong hoạt động xây dựng; kinh doanh bất động sản; khai thác, sản xuất, kinh doanh vật liệu xây dựng; quản lý công trình hạ tầng kỹ thuật; quản lý phát triển nhà và công sở",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=12329&Keyword=23/2009/NĐ-CP
73.0,08/NĐ-CP,09/02/2009,"Về việc điều chỉnh địa giới hành chính xã, phường để thành lập xã, phường thuộc huyện Mỏ Cày, huyện Chợ Lách, thị xã Bến Tre; điều chỉnh địa giới hành chính huyện Mỏ Cày, huyện Chợ Lách để thành lập huyện Mỏ Cày Bắc thuộc tỉnh Bến Tre",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=12305&Keyword=08/NĐ-CP
74.0,07/NĐ-CP,09/02/2009,"Về việc giải thể xã và điều chỉnh địa giới hành chính xã, thành lập xã thuộc các huyện Tương Dương, Thanh Chương, Anh Sơn, Yên Thành, Hưng Nguyên tỉnh Nghệ An",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=12306&Keyword=07/NĐ-CP
75.0,05/NĐ-CP,19/01/2009,"Về việc điều chỉnh địa giới hành chính xã, thành lập xã thuộc huyện Phù Ninh, huyện Thanh Ba; xác định địa giới hành chính xã Tân Đức thuộc thành phố Việt Trì, tỉnh Phú Thọ",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=12618&Keyword=05/NĐ-CP
76.0,03/NĐ-CP,19/01/2009,"Về việc thành lập phường thuộc thị xã Hồng Lĩnh; điều chỉnh địa giới hành chính xã để mở rộng thị trấn Hương Khêthuộc huyện Hương Khê, tỉnh Hà Tĩnh",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=12622&Keyword=03/NĐ-CP
